carport_type,carport_type_name,panel_length_mm,panel_width_mm,panel_power_w,area_length_mm,number_row,delivery_area,delivery_artic_cost_gbp,total_power_kw,total_weight_kg,total_cost_gbp
2,SingleMonoDecline,4000,750,300,20000,3,Bradford,734,21.6,5999.159019999999,17640.767549999997
1,SingleMonoIncline,2500,1134,250,300000,3,Colchester,726,185.25,56066.56822,160714.25055000003
1,SingleMonoIncline,2000,1000,900,200000,3,St Albans,760,499.5,35752.58698,103403.85745
1,SingleMonoIncline,3500,2500,300,250000,3,Worcester,456,87.3,48990.95627999999,135707.9807
2,SingleMonoDecline,2500,1500,700,15000,3,Harrow,751,18.9,3893.7983200000003,11938.365799999998
1,SingleMonoIncline,1500,1000,1200,300000,3,Twickenham,742,1000.8,50167.61203999999,146638.3401
1,SingleMonoIncline,4000,900,400,60000,3,Paisley,1400,73.2,14786.503240000002,42621.168099999995
3,DuoMono,1500,1500,450,250000,6,Leeds,686,426.6,77501.91855000002,215344.34637500002
2,SingleMonoDecline,4000,1250,600,300000,3,London West Central,756,406.8,66575.45244,186875.14110000004
1,SingleMonoIncline,1500,750,300,300000,3,London SW,761,324.9,51066.3907,151058.40675000005
2,SingleMonoDecline,2500,1134,250,250000,3,Magor - Limerick,1750,154.5,47555.742040000005,139315.54510000002
4,GullWing,1750,1134,600,75000,6,Magor - Galway,1750,223.2,22635.32284,66842.93710000001
4,GullWing,3000,1000,450,60000,6,Warrington,606,151.2,25768.640559999996,71590.1514
1,SingleMonoIncline,4000,1500,300,20000,3,London East Central,751,11.7,5526.596219999999,16141.96055
4,GullWing,3000,750,500,200000,6,Magor - Ballymena,1395,723,84415.34842000001,239117.44105
4,GullWing,4000,2500,500,250000,6,Magor - Limerick,1750,291,91204.77252,252160.6413
1,SingleMonoIncline,2500,900,700,60000,3,Stoke on Trent,582,128.1,12317.62324,35630.9681
1,SingleMonoIncline,3500,1134,600,150000,3,Doncaster,718,223.2,32871.680199999995,93041.9505
3,DuoMono,3500,1500,300,300000,6,Bolton,644,342,128811.8071,349322.06775
1,SingleMonoIncline,1750,1000,300,29000,3,Blackpool,710,24.3,6041.29186,18220.37965
4,GullWing,2333,1134,500,150000,6,Sutton,759,372,49530.542799999996,138793.987
4,GullWing,2000,2000,400,15000,6,Magor - Dublin,1450,16.8,5173.938879999999,15629.077199999998
3,DuoMono,2500,1134,1200,10000,6,Milton Keynes,582,57.6,5210.2568599999995,14912.67215
4,GullWing,2000,2500,1000,250000,6,Birmingham,543,582,63876.45251999999,175511.84129999997
2,SingleMonoDecline,2500,750,1000,40000,3,Swindon,460,144,9116.773999999998,26704.565000000002
3,DuoMono,4000,1000,1200,150000,6,Blackburn,693,1000.8,78697.70850000001,214364.06124999994
2,SingleMonoDecline,3000,750,800,60000,3,Inverness,1700,172.8,13537.75004,40133.685099999995
2,SingleMonoDecline,1750,1500,700,75000,3,Hemel Hempstead,697,98.7,12830.25428,37009.025700000006
3,DuoMono,1500,900,1000,29000,6,Magor - Sligo,1750,180,11436.9866,33799.2565
2,SingleMonoDecline,1500,1500,450,15000,3,Dumfries,1200,12.15,3427.53832,11221.715799999998
3,DuoMono,1500,2500,300,100000,6,Doncaster,718,70.2,30836.7941,84974.45525000001
3,DuoMono,3000,2000,450,75000,6,Leicester,594,97.2,28980.22685,78681.397125
2,SingleMonoDecline,1750,2000,600,60000,3,Swindon,460,52.2,10447.38364,29860.56909999999
2,SingleMonoDecline,3000,2500,800,20000,3,Harrogate,744,19.2,4799.80222,14165.97555
3,DuoMono,3500,1750,400,75000,6,Tonbridge,760,98.4,33078.1677,89969.32925000002
2,SingleMonoDecline,4000,1250,1000,9000,3,Llandrindod Wells,465,21,3109.5631800000006,9223.897949999999
2,SingleMonoDecline,1750,1500,450,9000,3,Magor - Kilkenny,1650,8.1,2396.8083799999995,8596.61095
2,SingleMonoDecline,2000,1250,800,40000,3,Cambridge,720,72,8049.2876,23748.648999999998
1,SingleMonoIncline,3500,1250,1000,300000,3,Nottingham,641,678,63108.23244,177747.09110000005
1,SingleMonoIncline,4000,2000,700,75000,3,Worcester,456,75.6,16120.17938,44658.43845000001
3,DuoMono,2000,750,250,250000,6,Swansea,571,451.5,98792.69825,277261.69562500005
4,GullWing,2500,900,450,10000,6,Kilmarnock,1100,27,5453.55456,16160.516399999997
1,SingleMonoIncline,1500,1500,200,20000,3,Magor - Cavan,1450,7.8,4139.996220000001,13374.46055
4,GullWing,3500,1134,700,10000,6,Southall,741,33.6,6440.8114399999995,18148.0586
2,SingleMonoDecline,2500,750,200,100000,3,Cambridge,720,72,20327.72106,59529.052650000005
3,DuoMono,3500,1250,800,250000,6,Southampton,585,902.4,112789.4769,306459.32225
4,GullWing,2000,1134,1000,200000,6,Worcester,456,990,59596.257620000004,167297.91405
4,GullWing,3500,1500,250,200000,6,Magor - Dublin,1450,190.5,76185.46012000002,211886.5203
4,GullWing,1750,1750,1200,200000,6,London West Central,756,784.8,51386.49006,143812.69515
2,SingleMonoDecline,4000,900,400,200000,3,Inverness,1700,244.8,46664.962179999995,134842.39545
3,DuoMono,4000,2500,200,200000,6,Ilford,779,93.6,83435.60350000001,224558.31874999998
4,GullWing,2333,750,1200,10000,6,Magor - Belfast,1350,86.4,5458.946559999999,16545.5964
3,DuoMono,4000,750,600,100000,6,Hemel Hempstead,697,432,57225.68515,156816.40287499994
1,SingleMonoIncline,1750,1750,250,15000,3,Medway,797,6,3561.37852,11122.916299999999
2,SingleMonoDecline,2500,2500,800,20000,3,Magor - Wexford,1750,19.2,4552.182220000001,14552.925549999998
2,SingleMonoDecline,2500,1250,200,20000,3,Magor - Ballymena,1395,9,4700.94082,14782.622049999996
4,GullWing,4000,2500,400,20000,6,Lancaster,769,19.2,10669.818399999998,29181.855999999996
4,GullWing,3500,750,900,50000,6,Wigan,628,324,25592.64316,71004.0779
4,GullWing,4000,1000,1000,10000,6,Sheffield,634,54,7223.587359999999,20058.798399999992
3,DuoMono,2333,1750,500,100000,6,Gloucester,465,165,36760.208040000005,100714.7901
2,SingleMonoDecline,1750,900,250,50000,3,Northampton,582,38.25,9275.338899999999,27314.177249999997
2,SingleMonoDecline,2333,1750,250,75000,3,Cleveland,832,30.75,14383.405279999999,41251.583199999994
2,SingleMonoDecline,3500,2500,450,20000,3,Gloucester,465,10.8,5047.4222199999995,14506.025549999998
2,SingleMonoDecline,2500,750,250,250000,3,Thurso,1800,225.75,49736.32574,147397.92435000004
3,DuoMono,2500,1250,1000,50000,6,Wakefield,687,228,21314.594299999997,59417.83575
1,SingleMonoIncline,2333,900,800,300000,3,Cardiff,395,734.4,56558.9279,162414.74975000008
2,SingleMonoDecline,3000,1134,600,50000,3,Magor - Waterford,1750,73.8,10608.122060000002,31510.135150000006
1,SingleMonoIncline,3000,1000,500,60000,3,Hereford,414,84,13023.713240000001,37076.1931
3,DuoMono,2000,900,500,9000,6,Colchester,726,27,4677.3069000000005,13785.097249999997
1,SingleMonoIncline,1750,900,800,40000,3,Magor - Derry,1450,98.4,8069.4193,24863.37825
1,SingleMonoIncline,2333,750,1000,9000,3,Crewe,555,33,2682.5854200000003,8368.05355
3,DuoMono,3000,2000,1000,9000,6,Peterborough,750,24,4728.191900000001,13632.309749999997
4,GullWing,3500,750,250,300000,6,Harrow,751,541.5,137330.58922000002,380334.2230500001
1,SingleMonoIncline,2000,750,250,20000,3,Dartford,765,18,4628.51902,14245.167549999996
3,DuoMono,3000,1134,200,60000,6,Shrewsbury,493,58.8,26466.81428,72579.18570000003
4,GullWing,2500,1134,500,60000,6,Blackburn,693,147,20822.0841,58538.88025
4,GullWing,2000,1500,250,250000,6,Wolverhampton,530,237,69193.20672,192460.52680000002
2,SingleMonoDecline,3500,1000,700,75000,3,Dumfries,1200,144.9,16714.21778,47890.73445000002
1,SingleMonoIncline,1500,1000,1200,75000,3,Cardiff,395,248.4,12866.77778,37467.13445000001
4,GullWing,4000,900,1000,15000,6,Llandrindod Wells,465,90,9035.461479999998,24784.2837
3,DuoMono,2333,900,250,300000,6,Milton Keynes,582,459,120511.21595000001,334138.3098750001
1,SingleMonoIncline,2333,1134,200,15000,3,Sunderland,929,7.2,3933.06924,12305.743099999998
3,DuoMono,1500,1134,300,100000,6,Luton,718,147.6,32979.66359,92538.94897499998
4,GullWing,1500,750,400,9000,6,Manchester,621,26.4,4104.0713000000005,12368.60825
2,SingleMonoDecline,4000,2500,400,100000,3,Sheffield,634,46.8,21652.347,60613.2975
4,GullWing,1500,750,300,40000,6,Llandrindod Wells,465,86.4,12576.84648,36510.7062
3,DuoMono,2000,2000,900,40000,6,Dundee,1394,102.6,14540.469350000001,40940.24337499999
4,GullWing,1500,2000,600,15000,6,Preston,670,25.2,4559.898880000001,13313.977199999998
3,DuoMono,2500,900,800,300000,6,Derby,630,1468.8,124325.57915,344010.2178750001
2,SingleMonoDecline,2333,1250,800,100000,3,St Albans,760,180,18587.053900000003,53889.38475000002
3,DuoMono,4000,1750,800,15000,6,Chelmsford,670,38.4,8818.110249999998,24427.38562499999
3,DuoMono,2500,1500,1200,60000,6,Kilmarnock,1100,273.6,23228.6001,65028.850249999996
3,DuoMono,1750,1500,1000,50000,6,Bath,499,192,18163.446900000003,50799.16724999999
3,DuoMono,4000,1750,450,60000,6,Carlisle,950,89.1,27759.6406,75752.45150000001
2,SingleMonoDecline,1500,750,1000,200000,3,Magor - Newry,1395,723,34887.24552,104619.98380000003
4,GullWing,4000,1500,900,20000,6,Manchester,621,70.2,11527.359400000001,31481.708499999993
2,SingleMonoDecline,1500,2000,900,250000,3,Sutton,759,324,39327.191940000004,112749.68985
4,GullWing,3500,750,900,10000,6,Southall,741,64.8,7077.808959999999,19983.752399999998
3,DuoMono,2333,750,500,10000,6,Southend on Sea,690,36,5567.909739999999,16158.004349999997
1,SingleMonoIncline,1750,1134,700,29000,3,Cardiff,395,50.4,5974.809699999999,17647.974249999996
1,SingleMonoIncline,3000,1750,800,300000,3,Oxford,530,393.6,57349.66484,161021.87209999998
3,DuoMono,3500,2500,300,50000,6,Ipswich,761,34.2,19974.97515,54654.50787499999
1,SingleMonoIncline,3500,750,250,40000,3,Tonbridge,760,36,10384.633999999998,30174.214999999997
1,SingleMonoIncline,2500,2500,400,40000,3,Harrogate,744,19.2,8311.1733,24001.76325
4,GullWing,2500,2000,1200,60000,6,Chester,586,208.8,20130.70616,55813.71540000001
1,SingleMonoIncline,3500,1750,800,150000,3,Doncaster,718,196.8,31054.850359999997,87223.0759
4,GullWing,1750,2000,600,10000,6,Harrogate,744,18,4155.788560000001,12256.101399999998
4,GullWing,2000,750,800,15000,6,Glasgow,1260,86.4,6187.283079999999,18641.237699999994
3,DuoMono,1750,1750,700,75000,6,Southend on Sea,690,172.2,25492.547699999996,70865.27925
1,SingleMonoIncline,3000,1134,500,200000,3,Milton Keynes,582,247.5,40795.53112,116036.29780000004
3,DuoMono,3000,1000,900,10000,6,Southampton,585,48.6,5780.249099999999,16401.452749999997
3,DuoMono,2500,750,900,15000,6,Durham,914,97.2,8544.634450000001,24595.69612499999
4,GullWing,2500,1250,800,50000,6,Magor - Wexford,1750,182.4,18352.92772,53811.18929999999
2,SingleMonoDecline,1750,1000,700,29000,3,Llandrindod Wells,465,56.7,6041.29186,17975.37965
2,SingleMonoDecline,2333,900,200,75000,3,Bournemouth,760,46.2,15443.61252,44924.5013
4,GullWing,2500,1134,400,200000,6,Inverness,1700,396,67043.03762,190890.86404999997
1,SingleMonoIncline,1500,1000,450,10000,3,Stoke on Trent,582,12.15,2417.4706799999994,7671.4667
1,SingleMonoIncline,3500,2500,600,100000,3,Cambridge,720,70.2,20649.027000000002,58276.99750000001
1,SingleMonoIncline,2333,1000,450,15000,3,Stockport,600,18.9,4070.7527000000005,12381.751749999998
1,SingleMonoIncline,1500,1250,900,50000,3,Torquay,560,102.6,9320.80524,27417.7231
3,DuoMono,2500,2500,200,300000,6,Stockport,600,139.2,100980.28595,273284.984875
4,GullWing,3000,1750,250,75000,6,Liverpool,594,61.5,27502.78922,75422.80305
4,GullWing,4000,900,700,40000,6,Luton,718,172.2,21413.087079999998,59146.707700000006
2,SingleMonoDecline,3500,1750,200,250000,3,Coventry,541,82.2,50720.963279999996,141503.99819999994
4,GullWing,2333,1134,800,15000,6,Twickenham,742,57.6,6096.34624,17531.095599999997
4,GullWing,1750,1500,500,200000,6,Paisley,1400,381,52962.61011999999,150779.3953
4,GullWing,1750,2000,450,150000,6,Blackburn,693,194.4,37597.51432,105168.53580000001
2,SingleMonoDecline,1500,2000,1000,75000,3,London East,760,108,12290.97938,35389.43845000001
3,DuoMono,2500,1500,200,40000,6,Portsmouth,582,30,16405.99675,45156.861874999995
1,SingleMonoIncline,2333,1750,900,20000,3,Motherwell,1300,29.7,4507.57098,14082.597450000001
2,SingleMonoDecline,1500,1250,1000,20000,3,Ipswich,761,45,4122.54082,12702.622049999996
4,GullWing,2000,750,600,200000,6,Glasgow,1260,867.6,66275.06842,191831.74105
3,DuoMono,1500,900,700,100000,6,Southall,741,428.4,34539.911949999994,97701.56987499999
2,SingleMonoDecline,4000,2500,250,15000,3,Preston,670,4.5,4617.64682,13575.787049999999
1,SingleMonoIncline,4000,2000,200,40000,3,Inverness,1700,11.4,9592.6248,28252.591999999997
4,GullWing,1500,2500,450,9000,6,Sutton,759,8.1,3414.3712,10295.958
3,DuoMono,2500,2000,500,9000,6,Guildford,660,12,4413.9719000000005,12756.759749999997
1,SingleMonoIncline,4000,1750,450,40000,3,Hull,753,29.7,9858.0921,28060.46025
2,SingleMonoDecline,2333,2000,1000,50000,3,Harrogate,744,72,9304.10382,26727.28955
3,DuoMono,1750,2000,1200,150000,6,Halifax,702,518.4,47130.135350000004,129605.448375
3,DuoMono,3500,2500,800,100000,6,Twickenham,742,187.2,40669.114100000006,110345.25525000002
2,SingleMonoDecline,1750,750,500,10000,3,Dartford,765,18,2591.75508,8381.377700000001
4,GullWing,3500,2000,700,9000,6,Doncaster,718,16.8,5582.0734,15735.0135
4,GullWing,3500,1250,500,60000,6,Magor - Limerick,1750,135,24896.41246,70595.50115
3,DuoMono,1500,1500,600,200000,6,Magor - Enniskillen,1450,457.2,63293.99809999999,179088.50525
4,GullWing,2500,1750,500,300000,6,Guildford,660,492,90575.53472,249854.26679999992
2,SingleMonoDecline,2333,1000,1200,300000,3,Dudley,500,1000.8,56459.13944,162141.15860000002
2,SingleMonoDecline,1500,1000,700,300000,3,Stockport,600,583.8,50167.61203999999,146212.3401
2,SingleMonoDecline,4000,900,800,10000,3,Aberdeen,1645,24,3351.99548,11101.1787
4,GullWing,1500,900,1200,15000,6,Swindon,460,108,5110.86148,14967.783699999998
1,SingleMonoIncline,3500,1134,250,100000,3,Newport,344,61.5,21586.69298,60769.28245000002
2,SingleMonoDecline,2333,2000,700,20000,3,Sheffield,634,21,4540.95514,13469.657849999998
4,GullWing,3500,1750,400,15000,6,Oxford,530,19.2,7177.306079999999,19778.2952
3,DuoMono,4000,750,1000,15000,6,County Waterford Ireland,1750,108,10910.914449999998,31347.396124999992
4,GullWing,1500,1250,800,75000,6,Magor - Cork,1850,268.8,19585.18832,58619.5208
1,SingleMonoIncline,2333,900,700,150000,3,Durham,914,321.3,28668.61466,83400.80665000001
4,GullWing,1750,1134,900,20000,6,Medway,797,86.4,7278.6705999999995,21218.386499999993
4,GullWing,3500,1750,600,200000,6,Doncaster,718,392.4,73215.99006000001,199708.44514999996
1,SingleMonoIncline,2500,2000,700,20000,3,Glasgow,1260,21,4627.59182,14312.249549999997
3,DuoMono,2000,1500,600,40000,6,Plymouth,582,90,15126.256749999999,41957.511875
4,GullWing,3000,2000,1200,60000,6,Torquay,560,208.8,22213.666159999997,60969.1154
2,SingleMonoDecline,1750,900,700,40000,3,Magor - Portlaoise,1550,86.1,8069.4193,24963.37825
1,SingleMonoIncline,3500,1750,700,10000,3,Huddersfield,695,10.5,2853.2835800000003,8752.398949999999
1,SingleMonoIncline,1750,1000,400,60000,3,Magor - Wexford,1750,67.2,11040.563240000001,33454.318100000004
1,SingleMonoIncline,2333,900,1200,9000,3,Llandudno,854,32.4,2597.32274,8393.096850000002
3,DuoMono,2000,2000,900,200000,6,Paisley,1400,518.4,65008.11435,180881.91587499995
3,DuoMono,3500,1134,1200,10000,6,Paisley,1400,57.6,6056.01686,17845.07215
1,SingleMonoIncline,3000,900,1000,50000,3,Llandrindod Wells,465,153,10989.838899999999,31483.42725
3,DuoMono,4000,900,450,40000,6,Croydon,765,110.7,23563.26035,64970.82087499999
2,SingleMonoDecline,3000,900,1000,250000,3,Carlisle,950,765,51598.109939999995,148103.98485000004
3,DuoMono,2333,900,800,9000,6,Cardiff,395,43.2,4965.58926,14174.803149999998
1,SingleMonoIncline,2333,750,250,300000,3,Edinburgh,1300,270.75,58095.123100000004,171547.23775000006
4,GullWing,1750,900,900,20000,6,Magor - Ballymena,1395,108,7608.63684,22884.50209999999
4,GullWing,1750,2500,900,29000,6,Brighton,765,59.4,8073.048879999999,22868.332199999993
1,SingleMonoIncline,1750,2500,800,50000,3,Canterbury,769,45.6,8479.151399999999,24537.908499999998
2,SingleMonoDecline,3500,750,400,40000,3,Redhill,767,57.6,10384.633999999998,30181.214999999997
2,SingleMonoDecline,2333,1500,250,150000,3,Aberdeen,1645,71.25,27699.909000000003,81084.92249999999
2,SingleMonoDecline,2333,750,1200,40000,3,Dumfries,1200,172.8,8905.10948,26915.4037
4,GullWing,2500,1134,400,9000,6,Southampton,585,16.8,4912.573619999999,14110.664049999996
1,SingleMonoIncline,3500,900,250,50000,3,Wigan,628,38.25,11675.6389,33360.92725
1,SingleMonoIncline,2333,2500,1200,150000,3,Dorchester,560,208.8,25947.756859999998,73002.66215000002
1,SingleMonoIncline,3000,2000,600,40000,3,York,754,34.2,8669.284799999998,24998.241999999995
2,SingleMonoDecline,3000,1250,1200,40000,3,Wakefield,687,108,9103.3076,26350.698999999997
1,SingleMonoIncline,2000,2000,900,150000,3,Magor - Portlaoise,1550,194.4,25365.02762,73951.43905000002
3,DuoMono,1500,1750,400,10000,6,Plymouth,582,12,4003.5948,11713.616999999997
2,SingleMonoDecline,1750,2500,900,300000,3,Huddersfield,695,313.2,47872.4818,135427.63450000001
1,SingleMonoIncline,2333,1750,900,150000,3,Stockport,600,221.4,27327.67808,77669.14519999998
2,SingleMonoDecline,2333,900,600,9000,3,Kingston Upon Thames,754,16.2,2597.32274,8293.096850000002
1,SingleMonoIncline,1750,1134,450,10000,3,Dudley,500,10.8,2483.2099599999997,7723.4149
4,GullWing,2333,1750,1200,20000,6,London SE,749,79.2,8083.18738,22877.67845
2,SingleMonoDecline,4000,1500,300,10000,3,Dartford,765,5.4,3077.0733800000003,9412.27345
4,GullWing,2500,1750,250,300000,6,Magor - Waterford,1750,246,90575.53472,256394.26679999992
1,SingleMonoIncline,2000,1250,300,40000,3,Falkirk,1290,27,8049.2876,24318.648999999998
4,GullWing,1750,750,450,10000,6,Magor - Wexford,1750,32.4,4650.20896,14923.7524
1,SingleMonoIncline,1500,900,800,150000,3,Perth,1500,367.2,25389.254419999997,76374.40605000002
3,DuoMono,1500,900,250,29000,6,Worcester,456,45,11436.9866,32505.256500000003
1,SingleMonoIncline,1750,1134,1200,75000,3,London North,751,223.2,13868.588039999997,40521.9401
3,DuoMono,1500,900,450,20000,6,Wakefield,687,54,7962.645449999999,23035.323624999986
3,DuoMono,3500,2500,500,15000,6,Bromley,764,18,8181.73465,22808.84662499999
3,DuoMono,1750,2000,700,9000,6,St Albans,760,16.8,3942.6419,11678.434749999999
1,SingleMonoIncline,2000,1750,250,60000,3,Magor - Ballymena,1395,24.75,10867.847839999999,31968.3296
4,GullWing,4000,2500,800,10000,6,Exeter,594,19.2,6421.541359999999,17709.68339999999
4,GullWing,3500,1250,700,100000,6,Aberdeen,1645,315,40770.05002,114838.43505000003
4,GullWing,3500,2000,400,300000,6,Magor - Galway,1750,345.6,104254.52432000001,288942.46079999994
3,DuoMono,1750,2500,250,75000,6,Dartford,765,43.5,23496.84905,64889.35262500001
1,SingleMonoIncline,2333,750,450,300000,3,Halifax,702,487.35,58095.123100000004,169155.23775000006
3,DuoMono,2333,1250,450,75000,6,Halifax,702,151.2,28529.66033,78986.980825
4,GullWing,1500,1750,800,60000,6,Glasgow,1260,158.4,16240.267460000001,46418.818649999994
3,DuoMono,4000,1250,900,200000,6,Enfield,761,810,95561.86575000001,259515.49437499995
1,SingleMonoIncline,3000,1000,900,75000,3,Lincoln,689,186.3,15752.357780000002,44975.08445000002
4,GullWing,3000,1134,900,75000,6,Stevenage,728,334.8,30280.37284,83911.56210000001
1,SingleMonoIncline,2500,2500,300,250000,3,Darlington,829,87.3,44265.59628,125013.5807
2,SingleMonoDecline,2333,900,500,50000,3,Magor - Sligo,1750,76.5,10075.0725,30481.511250000003
2,SingleMonoDecline,3500,1500,700,75000,3,Romford,810,98.7,15715.54928,44335.26320000001
3,DuoMono,1750,1750,1000,15000,6,Gloucester,465,48,6399.18025,18175.060624999995
1,SingleMonoIncline,4000,2500,250,40000,3,Magor - Limerick,1750,12,9663.1533,28387.71325
4,GullWing,1500,1134,200,75000,6,St Albans,760,74.4,21106.31284,61040.412100000016
2,SingleMonoDecline,2000,750,400,29000,3,Inverness,1700,42,6442.020259999999,20455.400650000003
1,SingleMonoIncline,3000,1000,400,60000,3,Shrewsbury,493,67.2,13023.713240000001,37155.1931
4,GullWing,2000,750,800,10000,6,Liverpool,594,57.6,4997.008959999999,14634.752399999998
4,GullWing,2000,1134,700,10000,6,Magor - Limerick,1750,33.6,4616.33144,14595.858599999998
2,SingleMonoDecline,2333,750,300,50000,3,Halifax,702,54,10313.63406,30303.515150000003
3,DuoMono,1750,1000,600,20000,6,Gloucester,465,68.4,8507.580249999999,24114.860624999987
3,DuoMono,2333,2500,400,200000,6,Llandrindod Wells,465,187.2,67636.73934,183026.15834999998
1,SingleMonoIncline,3500,1134,300,20000,3,Birmingham,543,14.4,5227.0758799999985,15276.359699999999
4,GullWing,1750,750,1200,10000,6,Blackpool,710,86.4,4650.20896,13883.7524
3,DuoMono,3000,900,250,9000,6,Magor - Donegal,1550,13.5,5543.3469000000005,16774.197249999997
2,SingleMonoDecline,3500,1000,1000,100000,3,Halifax,702,279,22911.9762,65539.9705
2,SingleMonoDecline,2000,750,900,20000,3,Salisbury,493,64.8,4628.51902,13973.167549999996
2,SingleMonoDecline,3000,1250,1200,75000,3,Halifax,702,201.6,15237.91248,43306.7712
3,DuoMono,1500,900,200,20000,6,Blackpool,710,24,7962.645449999999,23058.323624999986
2,SingleMonoDecline,3000,900,200,300000,3,Northampton,582,183.6,61750.17770000001,176140.87425000005
1,SingleMonoIncline,2333,1134,1200,9000,3,Magor - Donegal,1550,25.2,2510.9543799999997,8812.37595
1,SingleMonoIncline,1750,900,200,150000,3,Magor - Cork,1850,91.8,26373.37442,79534.70605000002
4,GullWing,1750,750,400,50000,6,Llandrindod Wells,465,144,16882.68316,48438.1779
4,GullWing,3000,900,1000,50000,6,Magor - Cork,1850,306,22026.13732,63984.61329999999
4,GullWing,1750,1500,1200,60000,6,Blackburn,693,273.6,17673.66096,49739.30239999999
1,SingleMonoIncline,2333,1134,600,100000,3,Southall,741,147.6,18766.889100000004,54513.77275000002
2,SingleMonoDecline,2333,1500,700,200000,3,Llandudno,854,266.7,36511.47812,104986.96530000003
1,SingleMonoIncline,2500,1000,300,10000,3,Chelmsford,670,8.1,2769.0706800000003,8638.4667
2,SingleMonoDecline,1500,900,800,20000,3,Hemel Hempstead,697,48,4163.7869200000005,12893.737299999999
2,SingleMonoDecline,1750,2500,500,15000,3,Warrington,606,9,3618.1068199999995,11012.937049999999
2,SingleMonoDecline,1750,1500,200,200000,3,Hereford,414,76.2,33942.88331999999,96831.47830000002
3,DuoMono,2000,1250,300,9000,6,Aberdeen,1645,12.6,4565.6756000000005,14303.418999999996
4,GullWing,1750,2000,800,75000,6,County Waterford Ireland,1750,172.8,19448.12432,56860.8608
3,DuoMono,2500,750,500,100000,6,Oldham,642,360,44380.885149999995,123842.402875
4,GullWing,2333,900,200,20000,6,Llandudno,854,24,8884.00764,25531.929099999994
4,GullWing,3500,1000,900,20000,6,Preston,670,102.6,11481.4476,31780.728999999985
4,GullWing,1750,2000,1200,100000,6,Twickenham,742,345.6,25873.36312,72504.11780000004
3,DuoMono,1500,2500,250,300000,6,Cambridge,720,174,87221.92595000002,238889.08487500003
2,SingleMonoDecline,2500,1500,200,250000,3,Sutton,759,94.8,45381.11434000001,129039.69585
3,DuoMono,4000,1250,200,15000,6,Huddersfield,695,13.2,9396.123949999997,26079.819874999997
1,SingleMonoIncline,2500,750,200,40000,3,Enfield,761,28.8,9116.773999999998,27005.565000000002
3,DuoMono,4000,2500,300,250000,6,London North,751,174.6,103269.97549999999,277538.76875
1,SingleMonoIncline,2500,2000,400,200000,3,Slough,610,115.2,35538.43978,99862.88944999999
3,DuoMono,3500,1250,200,60000,6,Stockport,600,54,28006.620399999996,76399.501
4,GullWing,3500,2500,700,10000,6,Hemel Hempstead,697,16.8,5898.82136,16505.8834
1,SingleMonoIncline,3500,2500,600,200000,3,Canterbury,769,140.4,39636.95812,111056.06530000005
3,DuoMono,2500,1750,800,40000,6,Magor - Waterford,1750,105.6,16239.15075,45725.346875
1,SingleMonoIncline,1750,1750,250,9000,3,Gloucester,465,3.75,2344.97858,7251.636449999999
4,GullWing,2333,750,1000,50000,6,Llandudno,854,360,19784.34412,56935.330299999994
4,GullWing,1500,2500,500,20000,6,Peterborough,750,24,6414.318399999999,18524.105999999992
2,SingleMonoDecline,1500,2000,700,15000,3,Cambridge,720,14.7,3421.9587199999996,10666.966799999997
